Age,Salary,Purchased
56,45342,1
46,57157,1
32,87863,1
25,126308,0
38,72083,1
56,126081,0
36,85733,1
40,109045,0
28,54698,0
28,130078,1
41,100623,1
53,42671,1
57,45184,0
41,113384,1
20,62107,0
39,106202,0
19,129893,0
41,71663,1
47,35708,1
55,111906,0
19,69811,0
38,22811,1
50,76250,0
29,132547,1
39,92082,0
42,144249,1
44,54754,0
59,115742,1
45,126642,0
33,31411,1
32,22911,1
20,87270,0
54,103763,0
24,28680,1
38,104896,0
26,103879,1
56,91295,0
35,108614,1
21,120689,1
42,31111,1
31,57504,1
26,21802,1
43,28155,1
19,93656,0
37,59384,0
45,132561,0
24,67254,1
25,41918,1
52,105981,1
31,80713,1
34,50306,0
53,36646,0
57,66843,1
21,140975,0
19,116601,0
23,110735,1
59,127512,0
21,36371,1
46,97371,0
35,131472,1
43,22049,1
51,51616,1
27,123727,1
53,132893,0
31,146603,1
48,40932,1
32,137796,1
25,49855,0
31,81434,1
40,92694,0
57,63016,1
38,27400,0
33,137858,0
35,62642,1
41,35151,0
43,71407,1
42,86690,1
58,24499,1
46,26295,0
32,140885,0
18,146071,1
42,79040,1
24,32183,0
26,49299,1
41,32874,1
18,136336,1
25,52711,0
41,25539,0
28,127941,0
34,73351,1
25,81267,1
52,143133,1
52,68354,0
50,146063,1
22,22557,1
59,58360,1
56,102018,1
58,22200,0
45,132476,0
24,88497,1
26,66975,0
25,41357,0
29,139121,1
51,97505,1
50,22869,0
40,146114,1
41,81135,0
54,70108,1
52,132296,0
57,114179,1
39,110272,0
44,58467,0
52,43328,0
18,139181,1
52,111412,0
54,106831,0
31,23987,1
20,78871,1
18,42399,0
22,148391,0
43,66214,1
31,119522,1
56,106416,1
44,90271,1
26,64064,1
32,145615,0
32,90091,1
43,127450,0
59,60818,0
30,65525,0
49,39830,1
56,37429,0
49,26893,0
21,136381,1
47,99909,0
54,67333,0
40,23436,1
56,94290,0
32,96213,0
46,25895,0
53,39738,1
30,50746,1
49,69377,1
24,68404,0
39,74045,0
45,117888,1
19,149307,0
59,59790,0
23,127455,1
45,25600,1
45,114660,0
37,113179,0
47,60764,0
28,94543,1
45,65714,1
42,76835,1
56,122946,1
50,148191,0
18,129616,1
44,125983,1
30,93744,1
58,76491,1
20,144123,1
56,38589,0
23,63484,0
25,102989,1
44,56212,0
26,63525,1
54,67202,1
50,52635,0
59,83208,0
41,53828,1
32,38711,1
49,23420,1
49,116752,0
41,20301,1
58,65236,1
29,135294,1
56,137858,0
19,86235,1
20,74240,1
54,144019,0
34,85726,1
19,30492,1
19,135668,0
45,121279,1
40,26102,0
54,70336,0
49,138015,1
50,105314,1
18,143007,1
36,46641,1
19,54584,0
43,52745,1
49,140542,0
23,43093,1
49,86105,1
21,123746,1
28,120199,0
34,71885,1
